change_request_status_id|change_request_id|sla_change_status|created_date_utc|created_user
11|3048|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD825402000000A358841BB9423C9EC4E04C0C11E804D596DF6659E2685906E616F5036B9CCB3F6A6F939719A70DD935F1E5DCCD4D546A
12|3047|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD825402000000D9B00767C4CB1C9ECA9531E2853A0DF0DDD4B6203423DF6190F569DDA949F7B93968B9FCBE98880C2828CEFE06C5CD53
13|3046|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD8254020000005E63F96B19E886D652552E6B9F4BCEE00CDF8564224C81585596E71C79972D059F08B6A2E47CA32F6C70F393809E38C7
14|3045|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD825402000000BE251560A97D35D8C95FD011F62CCA1145C12B0317451E666C6F6858A7867D19CD5129F87750E02EB0051C99E69E56DD
15|3044|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD8254020000003EE9A00A01ECF751DAE4949D9D3337D41C9BF848B31059FA18E81C4EBCFF176258ABF2089F22B314D57ED025063EFD8F
16|3043|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD825402000000D078F8EC6BF06A6DB67C586277DD920E6EE63C3EFF270BE26BD42F71B1772743798044829CCD5212ACC7618A24A85DDF
17|3042|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD8254020000006A811566711DFE69906C605B8E268994134AE3AE67C0863E93930ECAE41D08FA092DA4767FD2C1F1B547C4F382BC30DA
18|3041|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD825402000000C38A1BF7C1223B2B7B19D9E3D2B8BF163F43ED0B677C9687D2592E62E63CAB6B8664A1CA357F0FEAC0FA6D4DC261A6F8
19|3040|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD82540200000060F605A36E270D2164B70F5F34990E67CEF049E0EEE15EC4F72BF986CD3D3F042A7F5FC706577B1BF661E8FFEF3189C7
20|3039|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD82540200000087DE501DEB24AAA7C423A7D2AC599A1C14C5DEB6A635C62D057BEF01946F80006D48129AF0622CAD208FBD6A655446EF
21|3038|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD8254020000000C859874EB01049502FA4B235742D52CF5C55A7E1E4F97D6C2686FA392298D163F8FC10A808A77761FA78334238C6C1C
22|3037|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD8254020000000D4B998C55E0FF7B08B0C79143B30598B19A43FDA80C52BDA8C9B34773EC5A4D0732A9F5F56E285AE048510723209CB6
23|3036|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD82540200000092A725228A9774DDA7E1D6BA7FA2E60CDA3806E51760CF745BDBA3D82D4A0CB66F06F85EFF8C947E86C74E663937BFD9
24|3035|1|2014-01-01 00:00:00.000|0x00BB0D1AB27E7F46A25E608661BD825402000000998EFDB6D2120E74A6AF0E14E70F032088272DCC44794366C43A174B5F4A5FE6DDF6565C9FB8C6079194ECBE7762CA6F
